content_id,publish_date,category,brand,product_id,content_type,author_id,has_negative_detail,has_size_feedback,has_price_judgment,has_comparison,has_usage_scenario,positive_cliche_ratio,decision_info_score,effective_interaction_score,decision_path_entry_score,transaction_feedback_score,author_credibility_score,decision_value_score,exposure,like_rate,favorite_rate,comment_rate,effective_comment_rate,product_card_click_rate,product_detail_uv_rate,price_view_rate,review_view_rate,purchase_conversion_rate,cancel_return_rate
C00011,2026-05-15,潮鞋,Adidas,SKU9001,同质化好评,A31306,0,0,0,0,1,0.8133,26.67,25.66,15.99,28.61,40.18,25.54,19857,0.0639,0.0367,0.0261,0.0121,0.0155,0.0114,0.0138,0.0166,0.001,0.1123
C00012,2026-04-29,潮鞋,Asics,SKU7174,同质化好评,A67560,0,0,1,0,0,0.5865,40.67,32.84,28.22,45.84,47.53,37.71,9116,0.0656,0.0346,0.0184,0.0096,0.0353,0.0244,0.0511,0.0259,0.0276,0.0792
C00013,2026-06-10,潮鞋,Adidas,SKU6376,真实体验,A72531,1,1,0,1,1,0.3264,77.65,59.08,65.45,80.6,73.38,71.05,21508,0.0792,0.0463,0.0619,0.0477,0.0599,0.0529,0.0413,0.0787,0.0314,0.0635
C00014,2026-04-21,潮鞋,Converse,SKU5658,穿搭展示,A54293,0,0,1,0,1,0.2156,52.11,29.2,58.67,55.95,45.9,49.32,9606,0.0838,0.0305,0.019,0.0108,0.0512,0.0418,0.0667,0.0208,0.0335,0.0877
C00015,2026-05-22,潮鞋,Converse,SKU6513,价格判断,A53142,0,1,1,1,0,0.2477,68.05,56.64,72.21,69.46,58.43,66.12,6855,0.0466,0.0333,0.0436,0.0282,0.0736,0.0498,0.0707,0.0655,0.0425,0.0596
C00016,2026-04-29,潮鞋,Converse,SKU1388,真实体验,A19577,0,1,0,1,0,0.2195,47.33,50.52,54.59,61.26,46.65,52.5,5991,0.0292,0.0315,0.0463,0.0271,0.0513,0.0433,0.0262,0.0362,0.0287,0.068
C00017,2026-04-25,潮鞋,Jordan,SKU8377,疑似软广,A85417,0,0,0,0,1,0.7495,25.06,32.07,22.04,33.36,28.63,27.73,19942,0.0862,0.0061,0.0062,0.003,0.0079,0.0037,0.0114,0.0229,0.002,0.1091
C00018,2026-05-09,潮鞋,Asics,SKU5886,同质化好评,A80566,0,1,0,0,0,0.6195,30.98,20.95,29.56,46.73,57.43,34.41,6942,0.0829,0.0216,0.0218,0.011,0.0219,0.0173,0.026,0.0334,0.0127,0.0793
C00019,2026-04-19,潮鞋,Puma,SKU6413,对比测评,A38533,0,1,0,1,0,0.2454,55.1,54.88,52.93,56.06,74.89,56.69,22600,0.0542,0.0472,0.058,0.0351,0.0451,0.0391,0.0364,0.0538,0.0264,0.0577
C00020,2026-05-13,潮鞋,Converse,SKU4454,同质化好评,A54472,0,0,0,0,0,0.6712,17.14,32.68,16.22,31.25,29.17,24.04,18050,0.127,0.0342,0.0295,0.0135,0.0164,0.0125,0.0141,0.0163,0.001,0.111
C00021,2026-04-30,潮鞋,Asics,SKU9329,同质化好评,A67679,1,0,1,0,0,0.683,52.37,40.96,32.75,47.28,59.13,44.84,25161,0.0606,0.017,0.002,0.0013,0.0365,0.0344,0.0577,0.0442,0.0249,0.076
C00022,2026-06-01,潮鞋,Asics,SKU9959,同质化好评,A62779,0,0,0,0,0,0.9155,8.09,32.48,12.56,29.29,33.05,20.82,29640,0.0776,0.0346,0.0305,0.0135,0.0082,0.005,0.0072,0.016,0.001,0.119
C00023,2026-04-17,潮鞋,Vans,SKU6660,价格判断,A66774,1,1,1,0,0,0.1597,73.13,51.3,68.16,81.92,59.96,67.96,13671,0.0537,0.0574,0.038,0.0287,0.0592,0.043,0.0672,0.0709,0.0441,0.053
C00024,2026-04-27,潮鞋,Asics,SKU6846,同质化好评,A59778,0,0,1,0,0,0.7426,23.88,29.34,29.64,39.81,31.16,30.32,28689,0.1,0.0295,0.0209,0.0102,0.016,0.0093,0.0451,0.0133,0.0191,0.1222
C00025,2026-04-19,潮鞋,Nike,SKU4320,对比测评,A19835,0,0,1,1,0,0.1261,51.24,43.76,58.13,58.17,62.05,53.93,2570,0.0623,0.0369,0.0606,0.0359,0.0586,0.0373,0.0698,0.0423,0.0373,0.0698
C00026,2026-05-17,潮鞋,Asics,SKU2030,对比测评,A34733,0,0,0,1,0,0.1793,41.01,51.65,42.43,40.65,49.79,44.3,14249,0.0434,0.0392,0.0617,0.0339,0.0378,0.0173,0.0405,0.0477,0.0172,0.0732
C00027,2026-05-17,潮鞋,Asics,SKU8985,穿搭展示,A96327,0,1,0,0,1,0.6868,42.46,28.55,40.71,39.04,49.51,39.26,13844,0.1273,0.0472,0.04,0.0211,0.0178,0.0195,0.0241,0.0335,0.0164,0.0968
C00028,2026-05-28,潮鞋,Converse,SKU7043,对比测评,A91228,0,1,0,1,1,0.1986,64.42,46.28,63.29,57.45,54.08,58.08,16146,0.0593,0.0784,0.0495,0.0302,0.054,0.0429,0.0427,0.0568,0.0361,0.0647
C00029,2026-04-18,潮鞋,New Balance,SKU5414,穿搭展示,A45470,0,0,1,0,0,0.4608,36.37,20.94,35.07,39.18,26.21,32.5,9947,0.061,0.0468,0.035,0.0174,0.0345,0.0206,0.051,0.0299,0.0177,0.0923
C00030,2026-05-09,潮鞋,Nike,SKU3870,真实体验,A22438,1,1,0,1,1,0.1184,76.26,67.53,65.76,76.74,79.2,72.28,800,0.0311,0.0299,0.0585,0.0454,0.0628,0.0548,0.0393,0.0742,0.0398,0.0513
C00031,2026-06-03,潮鞋,New Balance,SKU5933,穿搭展示,A81928,1,1,1,1,1,0.5502,94.28,46.13,81.09,89.4,78.53,78.8,20010,0.0741,0.0357,0.0251,0.0202,0.0687,0.0471,0.0867,0.0906,0.0503,0.0492
C00032,2026-05-12,潮鞋,Vans,SKU6199,价格判断,A62616,1,0,1,1,1,0.0373,86.36,58.71,85.74,85.09,73.61,79.14,12225,0.0706,0.0351,0.0414,0.0334,0.0718,0.0531,0.0811,0.0634,0.0469,0.0595
C00033,2026-05-02,潮鞋,Vans,SKU2347,同质化好评,A47734,0,0,0,0,1,0.6305,22.45,32.34,17.22,31.93,51.55,27.93,26473,0.0955,0.0324,0.0112,0.0053,0.0122,0.009,0.0192,0.0274,0.0095,0.104
C00034,2026-05-18,潮鞋,Nike,SKU8007,价格判断,A91356,1,0,1,1,1,0.2049,80.08,68.65,68.61,71.52,73.07,72.51,5422,0.0151,0.0145,0.0393,0.0305,0.0722,0.0497,0.0825,0.0502,0.0433,0.079
C00035,2026-05-25,潮鞋,Jordan,SKU1420,穿搭展示,A40552,0,1,0,0,1,0.6677,42.22,33.55,38.64,49.81,73.76,44.26,22288,0.066,0.0655,0.0217,0.0119,0.0247,0.0255,0.0252,0.0431,0.0181,0.0871
C00036,2026-05-08,潮鞋,Vans,SKU4193,疑似软广,A95768,0,0,0,0,0,0.9031,6.52,21.23,13.51,23.85,16.62,15.69,27518,0.0694,0.0071,0.0022,0.001,0.0075,0.0051,0.0067,0.0106,0.001,0.1236
C00037,2026-05-02,潮鞋,Nike,SKU4463,同质化好评,A33808,0,0,0,0,0,0.62,16.95,28.57,17.28,31.95,33.25,23.99,11101,0.0846,0.0166,0.0211,0.0097,0.0172,0.0118,0.0246,0.0141,0.0119,0.1048
C00038,2026-06-06,潮鞋,Asics,SKU8507,穿搭展示,A95787,0,0,0,0,1,0.5705,37.26,40.62,17.83,31.85,37.07,31.97,17310,0.0693,0.0473,0.0419,0.0207,0.021,0.0155,0.0184,0.0227,0.0077,0.1056
C00039,2026-05-06,潮鞋,Puma,SKU1486,同质化好评,A77574,0,0,0,1,1,0.7454,44.69,46.01,41.03,35.04,50.47,42.69,800,0.0827,0.003,0.0042,0.0023,0.0373,0.0279,0.0163,0.0216,0.0146,0.0968
C00040,2026-05-11,潮鞋,Adidas,SKU1816,穿搭展示,A71027,0,0,0,0,1,0.2426,36.34,38.52,33.31,36.95,45.45,37.05,18017,0.0978,0.034,0.0156,0.0081,0.0365,0.024,0.0179,0.0308,0.0168,0.0809
C00041,2026-04-26,潮鞋,Nike,SKU3923,穿搭展示,A70073,1,0,0,0,0,0.3807,38.03,61.95,39.62,51.86,44.46,46.62,18898,0.1014,0.0519,0.0262,0.0173,0.0383,0.0266,0.0253,0.049,0.0191,0.0817
C00042,2026-05-02,潮鞋,Vans,SKU5674,对比测评,A45970,0,1,1,1,0,0.0276,70.74,48.41,73.63,69.9,70.76,66.83,13567,0.0587,0.0507,0.052,0.0338,0.0587,0.045,0.0613,0.0594,0.0493,0.0698
C00043,2026-05-03,潮鞋,Adidas,SKU6455,对比测评,A68033,1,1,0,1,1,0.2245,85.02,70.18,72.45,76.14,63.33,74.97,7332,0.0433,0.0526,0.0316,0.0249,0.0637,0.0427,0.0451,0.0819,0.0472,0.0407
C00044,2026-05-07,潮鞋,Nike,SKU9445,真实体验,A22419,1,1,0,1,0,0.3532,66.25,58.7,61.42,74.93,62.91,64.93,11476,0.0379,0.0382,0.0219,0.0162,0.0479,0.0406,0.0474,0.0918,0.029,0.0703
C00045,2026-05-24,潮鞋,Converse,SKU7130,穿搭展示,A84889,0,0,0,1,0,0.5049,35.2,40.71,40.39,35.33,39.22,38.03,24838,0.1209,0.0579,0.0338,0.0176,0.0429,0.0349,0.0274,0.0296,0.0132,0.0892
C00046,2026-05-27,潮鞋,Converse,SKU5977,穿搭展示,A58504,0,0,0,0,1,0.3887,34.77,40.09,28.7,37.93,37.37,35.21,19562,0.0831,0.038,0.0229,0.0116,0.0255,0.0171,0.0343,0.0251,0.0109,0.0802
C00047,2026-04-21,潮鞋,Asics,SKU2652,穿搭展示,A88756,1,0,0,0,1,0.4085,49.02,40.71,27.64,48.16,50.26,41.97,21192,0.0944,0.0439,0.0342,0.0218,0.0364,0.0261,0.0327,0.0505,0.012,0.0899
C00048,2026-06-02,潮鞋,New Balance,SKU5053,疑似软广,A60767,0,0,0,0,0,0.6693,13.68,41.17,26.96,23.9,23.41,25.52,10657,0.026,0.0248,0.008,0.0037,0.0163,0.0088,0.0107,0.019,0.005,0.1102
C00049,2026-06-01,潮鞋,New Balance,SKU4093,对比测评,A42467,1,1,1,1,0,0.209,86.29,78.29,77.95,87.62,85.01,82.74,21994,0.0309,0.032,0.0633,0.0521,0.0715,0.0466,0.0776,0.0878,0.0523,0.0427
C00050,2026-04-21,潮鞋,Adidas,SKU8211,同质化好评,A98076,0,0,0,0,0,0.6344,6.15,15.47,7.33,20.51,49.16,15.48,17644,0.1008,0.0361,0.0243,0.0102,0.0061,0.0046,0.0148,0.0099,0.0023,0.1153
C00051,2026-05-26,潮鞋,Jordan,SKU4153,价格判断,A59895,0,0,1,1,0,0.1821,61.06,59.63,66.11,48.26,65.19,59.89,8451,0.0657,0.0357,0.0341,0.0211,0.0542,0.037,0.0596,0.0459,0.0431,0.0753
C00052,2026-04-21,潮鞋,Puma,SKU1749,真实体验,A12387,1,1,1,1,0,0.2497,90.03,64.76,77.93,79.07,74.55,78.21,15881,0.0687,0.0594,0.0584,0.0468,0.0724,0.0594,0.0739,0.0827,0.0479,0.0638
C00053,2026-05-14,潮鞋,Asics,SKU3199,对比测评,A60794,0,0,1,1,0,0.0539,61.04,62.22,62.88,53.0,57.47,59.77,800,0.0576,0.0568,0.0235,0.0146,0.0629,0.0367,0.0646,0.0417,0.0307,0.0841
C00054,2026-05-17,潮鞋,Adidas,SKU6167,疑似软广,A26962,0,0,0,0,1,0.9005,19.11,29.33,30.47,27.48,32.71,27.03,7634,0.0942,0.0184,0.0106,0.005,0.014,0.0076,0.0146,0.0223,0.0016,0.0981
C00055,2026-04-21,潮鞋,Nike,SKU3543,真实体验,A15384,1,0,0,0,0,0.2869,45.89,62.5,28.35,48.84,57.5,46.58,9761,0.0394,0.0687,0.0449,0.0296,0.0303,0.024,0.0301,0.0509,0.0203,0.0694
C00056,2026-05-21,潮鞋,Puma,SKU9687,穿搭展示,A90902,0,0,0,0,1,0.3709,39.25,34.72,28.93,38.32,36.39,35.29,25534,0.1129,0.0654,0.0114,0.0058,0.0319,0.0236,0.0143,0.0258,0.0136,0.101
C00057,2026-05-23,潮鞋,Adidas,SKU9395,疑似软广,A15699,0,0,0,0,0,0.8294,21.17,26.52,10.49,20.2,37.01,20.96,16116,0.0782,0.0073,0.0252,0.0112,0.0153,0.0105,0.0144,0.0057,0.0038,0.1096
C00058,2026-04-27,潮鞋,Adidas,SKU7907,同质化好评,A74970,0,0,0,0,1,0.6697,38.94,33.18,32.28,27.69,61.15,36.1,25963,0.0944,0.0323,0.0163,0.0083,0.0216,0.016,0.0291,0.0244,0.0041,0.1087
C00059,2026-05-02,潮鞋,Jordan,SKU7727,同质化好评,A80357,0,0,0,0,0,0.71,15.47,16.9,22.82,22.03,40.91,21.45,6874,0.1038,0.0306,0.0203,0.0091,0.0277,0.0236,0.0108,0.0121,0.001,0.1136
C00060,2026-06-06,潮鞋,Vans,SKU8221,真实体验,A23897,0,0,0,0,0,0.3363,22.64,37.78,28.89,31.16,38.35,30.51,5426,0.0323,0.0198,0.0423,0.0206,0.0314,0.0219,0.0083,0.0227,0.0102,0.1148
C00061,2026-05-23,潮鞋,New Balance,SKU2634,同质化好评,A25871,0,0,0,0,0,0.6229,24.06,28.43,19.68,23.58,38.46,25.18,13019,0.0536,0.0285,0.0092,0.0042,0.0192,0.0112,0.0199,0.0113,0.0018,0.1011
C00062,2026-05-03,潮鞋,Nike,SKU6225,真实体验,A52947,1,1,0,0,1,0.2468,69.66,46.97,44.65,70.35,58.55,57.9,19322,0.0523,0.0178,0.0258,0.0183,0.0254,0.0232,0.036,0.0699,0.0345,0.0695
C00063,2026-05-07,潮鞋,Vans,SKU7889,价格判断,A46258,0,0,1,0,1,0.1032,58.77,28.89,60.72,53.15,59.0,52.18,12137,0.0473,0.05,0.0362,0.0211,0.042,0.026,0.0692,0.0394,0.029,0.0778
C00064,2026-05-10,潮鞋,Puma,SKU4271,穿搭展示,A99466,0,1,0,0,1,0.369,49.61,24.66,38.66,49.29,41.11,40.97,17602,0.1005,0.0246,0.0252,0.0135,0.0289,0.0272,0.0268,0.0341,0.0164,0.0802
C00065,2026-05-19,潮鞋,Asics,SKU2178,同质化好评,A28050,0,0,0,0,0,0.5255,10.19,25.97,18.26,21.19,28.04,19.35,16609,0.0604,0.0358,0.0216,0.0094,0.0173,0.0125,0.0232,0.01,0.0031,0.1159
C00066,2026-06-07,潮鞋,Adidas,SKU5706,同质化好评,A14548,0,0,0,0,0,0.7546,15.38,28.16,13.03,27.34,61.03,24.31,3784,0.0815,0.0244,0.0226,0.0104,0.0151,0.0117,0.0206,0.0178,0.0062,0.0904
C00067,2026-04-29,潮鞋,Jordan,SKU3605,穿搭展示,A71016,0,0,0,1,1,0.561,35.67,43.54,41.88,32.23,53.1,39.85,800,0.0986,0.0261,0.0255,0.0135,0.035,0.0286,0.0229,0.0222,0.0089,0.1085
C00068,2026-05-26,潮鞋,Jordan,SKU9412,价格判断,A84662,1,0,0,0,0,0.371,35.17,65.14,36.78,41.95,47.2,44.13,11009,0.0535,0.0273,0.0379,0.0246,0.0224,0.016,0.0312,0.049,0.0093,0.0905
C00069,2026-06-05,潮鞋,Jordan,SKU4343,同质化好评,A76958,0,0,0,0,1,0.7968,22.18,26.98,27.52,27.37,29.84,26.28,6944,0.0644,0.0195,0.0213,0.01,0.0125,0.0117,0.0037,0.0184,0.001,0.1052
C00070,2026-05-01,潮鞋,Puma,SKU1765,价格判断,A79696,0,0,1,1,0,0.1335,47.95,50.19,55.53,54.63,47.4,51.57,8463,0.0587,0.0203,0.0516,0.03,0.0525,0.0333,0.0768,0.0432,0.0349,0.0769
C00071,2026-06-05,潮鞋,New Balance,SKU9862,对比测评,A61194,0,0,0,1,1,0.2332,45.2,43.72,49.36,42.56,71.19,48.01,14434,0.0294,0.0544,0.0339,0.0192,0.0419,0.0306,0.0292,0.039,0.0164,0.0831
C00072,2026-04-19,潮鞋,Puma,SKU6777,真实体验,A64179,1,1,0,0,1,0.1224,65.9,49.46,50.04,70.44,55.41,58.51,16879,0.0415,0.0747,0.0356,0.0254,0.0445,0.0314,0.0492,0.0807,0.0336,0.0463
C00073,2026-05-20,潮鞋,Jordan,SKU3772,对比测评,A47102,1,0,1,0,1,0.257,72.23,53.83,62.95,58.85,64.14,62.75,13223,0.0476,0.0191,0.0398,0.0291,0.0546,0.0374,0.0662,0.0581,0.0368,0.0754
C00074,2026-05-29,潮鞋,Vans,SKU5040,对比测评,A98653,1,0,0,1,0,0.02,53.07,70.17,53.49,54.39,66.17,58.17,16649,0.0617,0.0413,0.0166,0.0118,0.0591,0.0486,0.0439,0.0556,0.0296,0.0761
C00075,2026-04-23,潮鞋,New Balance,SKU7184,穿搭展示,A15845,0,0,0,0,1,0.4314,34.37,41.0,25.23,32.59,45.07,34.13,22476,0.0471,0.029,0.0067,0.0034,0.0255,0.015,0.0203,0.0287,0.0082,0.1001
C00076,2026-04-21,潮鞋,Asics,SKU7943,同质化好评,A42369,0,1,0,0,0,0.7987,24.41,36.19,29.57,40.81,40.74,32.97,23428,0.0676,0.0344,0.025,0.0124,0.0158,0.0161,0.0104,0.0281,0.0041,0.098
C00077,2026-05-08,潮鞋,Vans,SKU5792,同质化好评,A11607,1,0,0,1,0,0.752,40.79,46.82,42.18,50.84,41.47,44.42,8904,0.0319,0.0293,0.0133,0.0087,0.0262,0.0195,0.0214,0.0402,0.0075,0.0986
C00078,2026-06-04,潮鞋,Jordan,SKU1209,穿搭展示,A43208,0,1,0,0,0,0.3185,43.42,17.5,42.72,31.98,40.84,35.52,23472,0.0754,0.0265,0.0152,0.0077,0.034,0.0233,0.0314,0.0402,0.0153,0.0767
C00079,2026-05-14,潮鞋,New Balance,SKU1229,同质化好评,A86112,0,0,0,0,1,0.9125,22.05,19.9,17.07,21.94,42.37,22.38,8176,0.0314,0.0282,0.0036,0.0016,0.0068,0.0041,0.0055,0.0261,0.001,0.1151
C00080,2026-05-19,潮鞋,Nike,SKU5069,价格判断,A32346,0,0,0,0,1,0.1931,35.56,36.23,30.35,41.53,48.56,36.88,10574,0.0421,0.0438,0.0362,0.0187,0.0287,0.0204,0.037,0.0205,0.0187,0.0771
C00081,2026-04-19,潮鞋,Puma,SKU5824,真实体验,A23206,1,0,0,0,1,0.211,54.54,49.68,34.4,55.79,63.89,49.72,13704,0.0754,0.0421,0.0457,0.0308,0.0395,0.0273,0.0301,0.068,0.0187,0.0715
C00082,2026-05-19,潮鞋,Converse,SKU8763,真实体验,A45089,0,1,0,0,1,0.1135,63.67,41.54,55.91,57.09,59.98,55.62,9066,0.0685,0.0467,0.0412,0.0247,0.0378,0.033,0.0371,0.0447,0.0255,0.0728
C00083,2026-05-12,潮鞋,Nike,SKU9571,价格判断,A31461,0,1,1,1,0,0.2389,68.79,44.88,72.67,73.03,61.61,65.11,20198,0.0368,0.0198,0.0271,0.0174,0.0711,0.0593,0.0716,0.0494,0.0483,0.0567
C00084,2026-04-21,潮鞋,Asics,SKU4763,对比测评,A44664,1,0,0,1,0,0.0726,54.5,75.85,53.59,54.37,59.11,58.98,16815,0.0524,0.0524,0.0415,0.0297,0.0521,0.0291,0.0279,0.0592,0.0267,0.0596
C00085,2026-06-09,潮鞋,Nike,SKU3488,真实体验,A69060,1,1,1,1,0,0.3422,87.81,62.34,73.69,84.21,70.17,76.7,15772,0.0604,0.0508,0.0421,0.0335,0.0771,0.0667,0.071,0.0701,0.0544,0.0554
C00086,2026-04-30,潮鞋,New Balance,SKU6474,同质化好评,A60920,0,0,0,0,1,0.7454,28.01,34.29,25.08,33.27,40.71,30.85,18501,0.0772,0.0342,0.0242,0.0118,0.022,0.0155,0.0122,0.0204,0.0043,0.1076
C00087,2026-06-08,潮鞋,Jordan,SKU4410,真实体验,A20680,0,1,0,0,0,0.1601,42.76,45.03,41.21,55.89,54.12,46.59,10772,0.1067,0.0457,0.0324,0.0181,0.0325,0.0257,0.0379,0.0455,0.0276,0.0727
C00088,2026-05-16,潮鞋,Jordan,SKU6511,穿搭展示,A16043,0,1,0,0,1,0.3233,47.36,39.54,47.35,56.18,60.71,48.89,35626,0.042,0.0382,0.0195,0.0111,0.0304,0.024,0.0297,0.0399,0.0267,0.0759
C00089,2026-04-17,潮鞋,Converse,SKU1151,同质化好评,A44097,0,0,0,0,0,0.5111,22.33,27.16,30.85,31.08,45.23,29.47,10551,0.055,0.0324,0.0194,0.0094,0.0103,0.007,0.0193,0.0203,0.0044,0.0976
C00090,2026-06-06,潮鞋,Puma,SKU7380,价格判断,A29464,0,0,0,0,1,0.1453,43.81,49.48,43.78,35.49,47.09,43.6,11054,0.0474,0.0279,0.0212,0.0116,0.0357,0.0222,0.0314,0.0276,0.0147,0.0902
C00091,2026-05-25,潮鞋,Converse,SKU2898,穿搭展示,A52447,0,0,0,0,1,0.2999,31.08,33.37,27.59,35.98,55.74,34.11,11019,0.0496,0.0651,0.0294,0.0148,0.0236,0.0128,0.0197,0.0257,0.0175,0.0874
C00092,2026-05-24,潮鞋,Adidas,SKU2100,价格判断,A27830,0,0,1,1,0,0.2241,45.36,46.69,57.99,55.03,57.75,51.96,13920,0.0456,0.0147,0.0335,0.0196,0.0623,0.0368,0.0681,0.0412,0.0337,0.0616
C00093,2026-05-12,潮鞋,Converse,SKU7614,价格判断,A31123,0,0,1,0,1,0.2167,54.23,53.87,55.95,44.85,55.06,52.8,16479,0.0682,0.0303,0.053,0.0311,0.0569,0.0545,0.0604,0.0332,0.0324,0.0817
C00094,2026-04-27,潮鞋,Converse,SKU2907,价格判断,A64190,0,0,1,0,0,0.2009,47.71,47.37,44.16,49.47,49.52,47.29,9616,0.0555,0.0596,0.0358,0.0201,0.0509,0.0421,0.069,0.0337,0.0222,0.0919
C00095,2026-05-30,潮鞋,Converse,SKU7225,同质化好评,A77775,0,0,0,0,1,0.661,28.42,39.03,30.85,36.3,55.21,35.41,16479,0.0339,0.0301,0.0245,0.0125,0.0168,0.0115,0.0163,0.0321,0.0106,0.1075
C00096,2026-06-06,潮鞋,Nike,SKU1500,穿搭展示,A72265,0,0,0,0,1,0.6243,36.69,26.49,28.66,45.3,55.47,36.24,24111,0.0737,0.0359,0.0321,0.0165,0.0171,0.0115,0.0207,0.0334,0.0071,0.0817
C00097,2026-05-08,潮鞋,Jordan,SKU2702,对比测评,A67738,0,0,0,1,1,0.2147,49.39,48.4,54.75,44.55,43.81,49.01,15471,0.0231,0.0493,0.0325,0.0185,0.0392,0.0257,0.0318,0.0305,0.0225,0.0837
C00098,2026-04-29,潮鞋,Adidas,SKU4381,穿搭展示,A27372,0,0,0,1,1,0.3739,36.94,36.7,54.15,33.88,38.85,40.77,24047,0.1156,0.0381,0.0193,0.0103,0.0427,0.02,0.0155,0.027,0.0205,0.0906
C00099,2026-05-15,潮鞋,Converse,SKU7445,真实体验,A34947,0,1,1,1,1,0.1382,83.13,43.01,75.6,77.31,78.0,71.55,11825,0.0593,0.0479,0.0293,0.0197,0.0769,0.0661,0.0912,0.0581,0.0476,0.0677
C00100,2026-04-19,潮鞋,Converse,SKU3294,同质化好评,A66815,0,0,0,0,0,0.6474,9.9,17.61,11.78,25.52,28.96,16.94,12377,0.0595,0.0276,0.0286,0.0122,0.0161,0.0113,0.0083,0.0114,0.0017,0.115
C00101,2026-05-12,潮鞋,Jordan,SKU9931,价格判断,A12253,0,0,1,0,0,0.1974,43.48,37.41,44.48,51.28,57.64,45.49,10989,0.062,0.0273,0.0482,0.0267,0.0429,0.0347,0.0746,0.032,0.0223,0.0841
C00102,2026-05-23,潮鞋,Nike,SKU7498,真实体验,A27516,1,1,0,0,0,0.2759,61.58,51.59,53.57,63.94,65.51,58.44,13143,0.0474,0.0411,0.0582,0.0415,0.0451,0.0298,0.0358,0.0832,0.0291,0.0458
C00103,2026-04-28,潮鞋,Jordan,SKU1464,同质化好评,A41609,0,0,0,0,0,0.7494,17.49,33.76,12.18,16.65,42.67,21.77,23049,0.0846,0.0361,0.0154,0.0069,0.0181,0.0126,0.0094,0.0135,0.0088,0.0963
C00104,2026-05-12,潮鞋,Jordan,SKU7289,穿搭展示,A56887,0,0,0,0,1,0.5291,38.2,37.08,28.21,40.7,57.76,37.94,24208,0.0604,0.0532,0.029,0.0151,0.0152,0.0114,0.037,0.0295,0.0166,0.1
C00105,2026-05-12,潮鞋,Nike,SKU7863,真实体验,A30319,1,1,0,1,0,0.2313,73.98,73.82,61.75,76.58,66.86,70.7,15745,0.043,0.0669,0.0466,0.0358,0.0628,0.0399,0.0391,0.0865,0.0367,0.0385
C00106,2026-06-07,潮鞋,Puma,SKU6985,穿搭展示,A35677,0,0,0,0,1,0.3945,38.26,20.17,34.52,33.07,42.1,33.05,3873,0.0667,0.0499,0.0334,0.0166,0.0206,0.0179,0.0183,0.0205,0.0171,0.0997
